"","NAME","YEAR","TEAM","TIME","COURSE"
"956","Schraeder, Josh","FR","Wis.-La Crosse","25:30.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"957","Mullins, Corey","SR","Muhlenberg","25:30.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"958","Lerdall, Thomas","SO","St. Olaf","25:30.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"959","Colaizzi, Griffin","JR","Williams","25:31.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"960","Lindquist, Jackson","SR","Wis.-Superior","25:31.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"961","Cyra, Matt","SR","Wis.-Eau Claire","25:31.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"962","Leroy, MacKenzye","JR","Washington and Lee","25:31.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"963","Auld, Ryan","JR","Carnegie Mellon","25:33.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"964","Sevcik, Timothy","JR","Loras","25:33.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"965","Joseph, Jesse","SR","Claremont-Mudd-Scripps","25:34.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"966","Cepeda, Kyle","SR","Washington U.","25:34.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"967","Anderson, William","SO","St. Olaf","25:35.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"968","Kokare, Kailas","SR","Wartburg","25:35.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"969","Berhe, Alex","SO","St. Olaf","25:36.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"970","Weisse, Jonah","JR","Wis.-La Crosse","25:36.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"971","Fleming, Andy","SR","Oneonta","25:37.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"972","Hickson, Oliver","SR","Johns Hopkins","25:38.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"973","Whipple, Henry","JR","Hamilton","25:38.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"974","Sullivan, Shane","JR","Emory","25:38.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"975","Williams, Noah","SR","Williams","25:39.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"976","Nowicki, Zac","SR","Calvin","25:39.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"977","Sauvola, Devin","JR","Wis.-Stout","25:39.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"978","Pelzar, Jonathan","SR","RIT","25:40.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"979","Mazzarella, Brandon","SR","TCNJ","25:41.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"980","Slattengren, Blake","JR","Lewis & Clark","25:41.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"981","Gorman, Jimmy","SR","Haverford","25:41.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"982","Lucey, Steven","SR","Amherst","25:41.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"983","Kuhlmann, Sam","SO","Wis.-Eau Claire","25:42.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"984","Simon , Kirby","JR","Washington U.","25:42.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"985","Phillips, Sean","SR","Ithaca","25:42.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"986","Ketola, Keith","JR","St. Olaf","25:42.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"987","Fields, Spencer","SO","Rhodes","25:43.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"988","Borger, Bobby","JR","Ohio Northern","25:43.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"989","Abdoulaye, Sidi","SO","St. Lawrence","25:43.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"990","Watro, Curtis","SR","Carnegie Mellon","25:43.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"991","Nelson, Scott","JR","Amherst","25:43.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"992","Levine	, Louis","JR","Johns Hopkins","25:44.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"993","Davis, Garrett","SR","RPI","25:44.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"994","Murch, Samuel","JR","Christopher Newport","25:44.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"995","Degroot-Lutzner, Julian","SO","Pomona-Pitzer","25:44.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"996","D'Anieri, Thomas","FR","Claremont-Mudd-Scripps","25:45.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"997","Voehler, Dominic","SO","Rhodes","25:45.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"998","Veltre, Kevin","JR","Rowan","25:46.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"999","Benfer, Andrew","SR","Christopher Newport","25:46.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1000","Banks, Nico","3","Claremont-Mudd-Scripps","25:46.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1001","Fleming, Paul","SO","Carnegie Mellon","25:48.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1002","Freed, Ben","JR","MIT","25:48.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1003","Appleton, Caleb","FR","Wartburg","25:48.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1004","Read, Daniel","JR","Christopher Newport","25:49.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1005","Glaser, Mike","SR","Wis.-La Crosse","25:49.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1006","Moore, Jared","SO","Carnegie Mellon","25:50.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1007","Cohen, Zeke","SO","Williams","25:50.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1008","Stewart, Matthew","JR","RPI","25:51.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1009","McDonald, Ian","SR","Washington and Lee","25:51.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1010","Huey, Kevin","SR","Whittier","25:51.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1011","Mhatre, Aaditya","SO","Carnegie Mellon","25:51.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1012","Solorza, Ruben","SR","Whittier","25:51.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1013","Hale, Peter","SR","Williams","25:52.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1014","Batt, Zach","SO","DePauw","25:52.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1015","Akerley, Devin","SO","Oneonta","25:52.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1016","Roberts, Christopher","SR","Birmingham-Southern","25:52.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1017","Callan, Peter","FR","Colorado College","25:52.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1018","Cerda, Osvaldo","SR","Whittier","25:52.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1019","Hughes, John","JR","Allegheny","25:53.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1020","Hedges, Ben","SR","Loras","25:54.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1021","Morgan, Greg","SO","Haverford","25:54.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1022","Fishbein, Benjamin","SR","St. Lawrence","25:54.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1023","Hearn, Adam","SO","Rhodes","25:55.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1024","Setya, Karn","JR","NYU","25:57.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1025","Jorgensen, Matt","SO","SUNY Geneseo","25:58.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1026","DeJong, Mark","JR","Calvin","25:59.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1027","Howells, William","FR","Whittier","25:59.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1028","Cicciu, Matthew","SR","RPI","26:02.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1029","Knoedler, Alex","JR","MIT","26:02.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1030","Eggers, Jacob","SR","St. Olaf","26:03.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1031","Gearinger, Dylan","SO","Haverford","26:05.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1032","Saddler, Neil","JR","NYU","26:06.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1033","Brossy, Cosmo","SO","Amherst","26:06.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1034","VanHaitsma, Nathan","SR","Calvin","26:06.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1035","Putnam, Jason","FR","Christopher Newport","26:07.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1036","Doran, Alex","SR","Johns Hopkins","26:07.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1037","Phillips, Ryan","JR","Rhodes","26:08.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1038","Ogetii, Dadley","FR","St. Lawrence","26:08.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1039","Maldonado, Jorge","SR","NYU","26:09.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1040","Smith, Drew","SR","Lynchburg","26:09.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1041","Ryan, Garrett","SR","Claremont-Mudd-Scripps","26:11.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1042","Serrao, Kevin","SR","Middlebury","26:11.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1043","Sogaard, Kristian","SO","Amherst","26:11.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1044","Wood, Brendan","SR","Middlebury","26:12.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1045","Waltman, Nicholas","JR","MIT","26:12.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1046","Boyd, Samuel","JR","Ohio Northern","26:12.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1047","Sopchak, Adam","JR","Mount Union","26:14.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1048","Head, Parker","SR","Pomona-Pitzer","26:14.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1049","Barkan, Brody","SO","Occidental","26:16.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1050","Graham, Ryan","SR","Wis.-Eau Claire","26:16.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1051","Peet, Graham","SO","Haverford","26:17.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1052","Shaw, Josh","SO","Lynchburg","26:18.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1053","Hunt, Austin","SR","Emory","26:18.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1054","Knowlton, Harrison","SO","Middlebury","26:19.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1055","Nagpal, Abhinav","SR","Redlands","26:19.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1056","Sankaran, Austin","JR","Occidental","26:19.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1057","Ensminger, Colin","SR","Loras","26:20.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1058","Kieffer, JD","SR","Pomona-Pitzer","26:20.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1059","Scott, Lee","SR","Wartburg","26:21.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1060","Dick, Nathanael","SO","Calvin","26:21.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1061","Henschel, Jack","FR","St. Olaf","26:21.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1062","Goodwin, Jackson","SO","U. of the South","26:21.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1063","Baird, Cooper","SO","Washington and Lee","26:22.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1064","Carroll, Jack","SO","Loras","26:23.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1065","Hale, Charlie","SR","Haverford","26:23.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1066","Schulze, Spencer","SO","Ohio Northern","26:24.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1067","Robertson, Thomas","FR","Occidental","26:24.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1068","Karam, Nick","SR","NYU","26:24.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1069","Mancuso, Logan","SO","St. Lawrence","26:24.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1070","Dunham, Chad","SO","Oneonta","26:25.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1071","Mitchell, Brian","SO","TCNJ","26:25.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1072","O'Leary, Aaron","JR","Wartburg","26:26.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1073","Svetz, Matt","SO","Allegheny","26:27.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1074","Kazlow	, Geoffrey","JR","Johns Hopkins","26:28.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1075","Saponara, Matthew","SR","TCNJ","26:30.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1076","Thomas, Nick","SO","Mount Union","26:32.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1077","Weiss, Daniel","SO","MIT","26:33.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1078","McBane, Michael","SR","Emory","26:34.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1079","Johnson, Dale","JR","TCNJ","26:35.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1080","Stuckey, James","SR","Rhodes","26:37.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1081","Gordon, Cully","SR","Ohio Northern","26:38.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1082","Barajas, Jovani","JR","Occidental","26:38.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1083","McOmber, Timothy","SR","Birmingham-Southern","26:38.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1084","Shaw, Bennett","SO","Emory","26:39.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1085","Brennan, Ryan","SO","Oneonta","26:39.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1086","Meijer, Miles","SO","Middlebury","26:40.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1087","Harmon, Phillip","SR","Washington and Lee","26:40.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1088","Archer, Ryan","SR","Carnegie Mellon","26:44.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1089","Toppin, Joel","JR","Wartburg","26:45.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1090","Sugimoto, Aaron","SR","Occidental","26:46.2","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1091","Freyaldenhoven, Toler","FR","Rhodes","26:48.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1092","Dolwick, Alex","SO","Washington and Lee","26:49.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1093","Mortensen, Patrick","FR","St. Lawrence","26:50.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1094","Koeman, Jamison","SO","Calvin","26:53.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1095","Mudd, Max","JR","NYU","26:53.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1096","Hunter, Patrick","SO","Washington and Lee","26:57.1","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1097","Trimble, Colten","SO","Mount Union","27:01.4","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1098","Colosi, Paul","FR","UC Santa Cruz","27:02.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1099","Crowley, Brian","SR","RPI","27:03.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1100","Dellabough, Blake","FR","Oneonta","27:05.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1101","McTaggart, Alex","SO","Rhodes","27:09.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1102","Bach, Jon","FR","Mount Union","27:11.8","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1103","Wasko, Quinn","SO","TCNJ","27:12.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1104","Prothero, Luke","SO","TCNJ","27:13.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1105","Barr, Emmett","SR","Allegheny","27:27.9","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1106","Jack, Andrew","JR","Occidental","27:36.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1107","Vucovich, Nicholas","JR","Pomona-Pitzer","27:38.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1108","Reyes, Jordan","JR","NYU","27:39.3","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1109","Evans, Connor","SO","Middlebury","27:39.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1110","Torres, Luis","FR","Emory","27:40.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1111","Koch, Justin","SR","Allegheny","27:46.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1112","Calove, Gabriel","SO","Whittier","27:46.6","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1113","Olsen, Tanner","SR","Whittier","27:53.5","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1114","Thorne, Josh","SO","Mount Union","27:59.0","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1115","Mitchell, Jonathan","SO","St. Lawrence","28:38.7","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1116","Osubor, Matt","SO","NYU","DNF","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1117","Bugler, Ryan","SR","St. John's (Minn.)","DNF","
EP ""Tom"" Sawyer State Park
3000 Freys Hill Rd
Louisville, KY 40241
  "
"1118","LeDuc, Michael","SR-4","Conn College","24:29.3","NA"
"1119","Crain, John","SR-4","North Central (Ill.)","24:33.1","NA"
"1120","Wintheiser, Grant","JR-3","St. Olaf","24:34.8","NA"
"1121","Horton, Eli","JR-3","Central College","24:35.2","NA"
"1122","Mangelsdorf, Wylie","SR-4","Principia","24:47.1","NA"
"1123","Guzman, John","JR-3","Occidental","24:51.3","NA"
"1124","Berens, Matt","JR-3","Bethel (Minn.)","24:57.5","NA"
"1125","Brown, Jake","JR-3","St. Olaf","25:00.0","NA"
"1126","Over, Bobby","SR-4","Allegheny","25:01.5","NA"
"1127","Klein, Roger","SR-4","North Central (Ill.)","25:01.9","NA"
"1128","O'Brien, Austin","SR-4","Central College","25:02.2","NA"
"1129","Horowitz, Coby","SR-4","Bowdoin","25:02.5","NA"
"1130","Mugan, Ryan","SO-2","Wis.-Eau Claire","25:02.6","NA"
"1131","Steinbock, Ryan","SR-4","Dickinson","25:04.7","NA"
"1132","Jenkins, Patrick","JR-3","Wis.-Stout","25:05.2","NA"
"1133","Krathwohl, Greg","SR-4","Middlebury","25:05.8","NA"
"1134","Saksa, Brian","SR-4","St. Olaf","25:07.3","NA"
"1135","Sparks, Kevin","SR-4","Washington U.","25:08.0","NA"
"1136","Stadler, Chris","SR-4","Haverford","25:08.5","NA"
"1137","Karten, Dylan","SR-4","NYU","25:08.8","NA"
"1138","Loustalet, Zorg","SO-2","Claremont-Mudd-Scripps","25:09.0","NA"
"1139","Cotton, Colin","JR-3","Williams","25:09.7","NA"
"1140","Marcantonio, Nick","JR-3","Cortland St.","25:10.8","NA"
"1141","Hartung, Tim","SR-4","York (Pa.)","25:12.3","NA"
"1142","Padgett, Andrew","JR-3","Washington U.","25:12.5","NA"
"1143","Norton, Chad","SR-4","Guilford","25:14.0","NA"
"1144","Kubiak, Brett","SR-4","Gwynedd-Mercy","25:16.0","NA"
"1145","Mitchell, Marty","SR-4","Luther","25:16.9","NA"
"1146","McGeary, Dan","JR-3","Mount Union","25:17.2","NA"
"1147","Robinson, Max","SR-4","Johns Hopkins","25:19.6","NA"
"1148","Campbell, Jake","SO-2","St. Olaf","25:19.7","NA"
"1149","Bennett, Parker","SR-4","Willamette","25:20.4","NA"
"1150","Hird, Timothy","SR-4","North Central (Ill.)","25:20.6","NA"
"1151","Cross, Will","JR-3","Elmhurst","25:20.7","NA"
"1152","Kelleher, Troy","SO-2","North Central (Ill.)","25:24.4","NA"
"1153","Rohlman, Andrew","SR-4","Wis.-La Crosse","25:26.0","NA"
"1154","Hannan, Tully","SR-4","Bates","25:26.6","NA"
"1155","Patrick, Garrett","JR-3","Washington U.","25:27.2","NA"
"1156","Canady, Frank","SR-4","Grinnell","25:28.9","NA"
"1157","Peterson, Jacob","SR-4","Wis.-La Crosse","25:29.0","NA"
"1158","Mazaheri, Bijan","SO-2","Williams","25:29.2","NA"
"1159","Bauer, Austin","SR-4","Luther","25:29.6","NA"
"1160","Goncarovs, Andris","SR-4","Guilford","25:29.7","NA"
"1161","Wedge, Roy","SR-4","MIT","25:30.1","NA"
"1162","Routhier, Nate","JR-3","Wis.-La Crosse","25:30.8","NA"
"1163","Wood, Kevin","JR-3","Middlebury","25:30.8","NA"
"1164","Decker, Cole","SO-2","Central College","25:32.0","NA"
"1165","Root, Ryan","SR-4","North Central (Ill.)","25:32.2","NA"
"1166","Dedering, Josh","SR-4","Wis.-La Crosse","25:32.9","NA"
"1167","Bregman, Avi","SR-4","Haverford","25:33.0","NA"
